Date,Total Delegators,Total APT Delegated
2024-10-31 11:05:49.200005,47037,306596415
2024-10-31 11:32:56.279813,47042,306604922
2024-10-31 11:43:40.796857,47043,306604922
2024-10-31 11:48:56.732663,47043,306604922
2024-10-31 11:54:47.013769,47044,306604922
2024-10-31 12:01:15.671259,47044,306604922
2024-10-31 12:58:54.817429,47056,306604922
2024-10-31 18:44:03.518400,47092,306628889
2024-11-01 02:11:48.098612,47145,322281866
2024-11-01 06:46:12.986058,47155,322325859
2024-11-01 12:57:10.378702,47306,322527713
2024-11-01 18:43:52.148281,47552,322547697
2024-11-02 01:57:04.493254,47721,322573976
